algo,key_size,operation,keygen_time_ms,enc_time_ms,dec_time_ms,memory_peak_kb,cpu_percent,system_load,timing_variance,label_algo_key,misuse_flag,misuse_reason,misuse_rule,context
RSA,2048,keygen+enc+dec,164.982792,0.16225,4.152708,111136.0,0.0,high,3.878e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,104.837166,0.152208,3.943542,111136.0,0.0,low,2.42e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,133.293875,0.138958,4.085583,111136.0,0.1,medium,1.01e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,103.276625,0.153458,4.261958,111136.0,0.0,idle,2.817e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,222.247791,0.15625,3.990917,111136.0,0.0,low,1.913e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,340.11825,0.140042,4.0625,111136.0,0.0,medium,1.337e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,127.2425,0.12775,3.957375,111136.0,0.0,high,2.499e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,99.106459,0.128333,4.034959,111136.0,0.0,high,2.09e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,136.52825,0.126958,4.066625,111136.0,0.1,idle,8.21e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,2048,keygen+enc+dec,201.22475,0.130334,3.873209,111120.0,0.0,idle,1.083e-05,RSA_2048,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
